device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,562.5,0.5,281.25,10,280.715,276.37,285.27,21.92,22.57,102.325,119.435,17.18,0.061135,0.058094,0.063473,1
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,562.5,0.75,421.88,10,421.875,417.48,426.78,22.0,22.91,103.125,128.44,25.49,0.060326,0.057703,0.061758,1
gpu-server,mobilenet-v2-050,6,1410MHz,dvfs6,server,562.5,1.0,562.5,10,561.775,559.05,565.2,35.52,241.96,102.9,137.025,34.09,0.060844,0.059682,0.062113,1
gpu-server,mobilenet-v2-050,7,1545MHz,dvfs7,server,585.0,0.25,146.25,10,146.25,144.62,147.3,20.06,20.76,105.925,113.675,7.65,0.052373,0.046708,0.383488,1
gpu-server,mobilenet-v2-050,7,1545MHz,dvfs7,server,585.0,0.5,292.5,10,291.575,288.83,294.93,21.995,22.51,106.55,123.96,17.565,0.059719,0.057231,0.063186,1
gpu-server,mobilenet-v2-050,7,1545MHz,dvfs7,server,585.0,0.75,438.75,10,437.11,434.47,440.3,21.585,22.98,106.3,133.54,27.165,0.062443,0.060744,0.063183,1
gpu-server,mobilenet-v2-050,7,1545MHz,dvfs7,server,585.0,1.0,585.0,10,584.12,581.87,589.58,74.815,211.96,106.85,142.82,35.93,0.061545,0.059537,0.062891,1
gpu-server,mobilenet-v2-050,8,1710MHz,dvfs8,server,562.5,0.25,140.62,10,140.49,137.37,142.48,20.135,20.5,111.8,120.225,8.25,0.059915,0.051342,0.064562,1
gpu-server,mobilenet-v2-050,8,1710MHz,dvfs8,server,562.5,0.5,281.25,10,280.795,276.75,285.15,22.095,23.48,112.6,131.525,18.905,0.067401,0.064824,0.073615,1
gpu-server,mobilenet-v2-050,8,1710MHz,dvfs8,server,562.5,0.75,421.88,10,421.6,417.82,428.15,22.085,24.05,112.95,142.245,28.96,0.068783,0.066667,0.071634,1
gpu-server,mobilenet-v2-050,8,1710MHz,dvfs8,server,562.5,1.0,562.5,10,564.24,558.3,566.93,37.805,56.53,113.35,152.265,38.965,0.069185,0.06789,0.070705,1
gpu-server,mobilenet-v2-050,9,1800MHz,dvfs9,server,598.5,0.25,149.62,10,150.65,148.2,151.97,20.435,21.8,116.825,127.075,10.35,0.069531,0.063461,0.072334,1
gpu-server,mobilenet-v2-050,9,1800MHz,dvfs9,server,598.5,0.5,299.25,10,298.43,295.68,303.23,23.385,24.23,117.6,140.11,22.235,0.074464,0.073086,0.081132,1
gpu-server,mobilenet-v2-050,9,1800MHz,dvfs9,server,598.5,0.75,448.88,10,449.76,445.13,455.72,21.865,23.33,118.45,153.74,35.15,0.078796,0.077393,0.080254,1
gpu-server,mobilenet-v2-050,9,1800MHz,dvfs9,server,598.5,1.0,598.5,10,599.55,596.32,604.68,184.04,396.68,118.975,165.875,46.815,0.077983,0.07677,0.08077,1
gpu-server,mobilenet-v2-050,10,1905MHz,dvfs10,server,598.5,0.25,149.62,10,149.405,147.52,150.77,20.11,20.37,125.8,137.265,11.545,0.077083,0.068701,0.085347,1
gpu-server,mobilenet-v2-050,10,1905MHz,dvfs10,server,598.5,0.5,299.25,10,299.705,296.48,303.2,22.19,23.28,127.075,151.78,24.555,0.082234,0.079475,0.085839,1
gpu-server,mobilenet-v2-050,10,1905MHz,dvfs10,server,598.5,0.75,448.88,10,449.67,445.35,453.33,21.97,23.27,127.75,166.885,38.915,0.086599,0.083485,0.0889,1
