model,model_label,segment,segment_label,segment_hex,device,dvfs_mode,dvfs_mode_label,condition_tag,capacity_ips,lambda_frac,load_group_pct,target_rps,n_runs,p95_latency_ms,ac_input_energy_j_per_inf,p95_deadline_feasible,deadline_normalized_ac_input_energy_delay_j_per_inf,deadline_normalized_edp_efficiency_inf_per_j,ac_input_energy_efficiency_inf_per_j
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,10,1905MHz,dvfs10,598.5,0.25,25,149.62,10,20.11,0.077083,1,0.0155013913,64.51033850103506,12.973029072558152
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,11,1950MHz,dvfs11,585.0,0.25,25,146.25,10,20.03,0.089034,1,0.017833510200000003,56.07421022474868,11.231664308017162
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,0,300MHz,dvfs0,230.6,0.5,50,115.3,10,19.965,0.06911,1,0.013797811500000002,72.47526174712561,14.46968600781363
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,1,420MHz,dvfs1,427.5,0.5,50,213.75,10,20.545,0.062641,1,0.012869593450000001,77.70253224277259,15.963985249277629
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,2,600MHz,dvfs2,491.6,0.5,50,245.8,10,21.155,0.056309,1,0.01191216895,83.94776838688139,17.759150402244757
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,3,810MHz,dvfs3,540.0,0.5,50,270.0,10,21.995,0.054362,1,0.011956921900000002,83.63356458822399,18.39520253117987
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,4,1005MHz,dvfs4,568.6,0.5,50,284.3,10,21.885,0.056697,1,0.012408138450000002,80.59226644106312,17.637617510626665
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,5,1200MHz,dvfs5,607.5,0.5,50,303.75,10,21.995,0.056448,1,0.0124157376,80.5429393095421,17.715419501133788
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,6,1410MHz,dvfs6,562.5,0.5,50,281.25,10,21.92,0.061135,1,0.013400792000000002,74.622455150412,16.357242168970313
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,7,1545MHz,dvfs7,585.0,0.5,50,292.5,10,21.995,0.059719,1,0.01313519405,76.13134577178172,16.74508950250339
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,8,1710MHz,dvfs8,562.5,0.5,50,281.25,10,22.095,0.067401,1,0.014892250949999998,67.14901618012286,14.836575124998145
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,9,1800MHz,dvfs9,598.5,0.5,50,299.25,10,23.385,0.074464,1,0.0174134064,57.42701784069083,13.429308122045551
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,10,1905MHz,dvfs10,598.5,0.5,50,299.25,10,22.19,0.082234,1,0.0182477246,54.80135315062788,12.160420264124328
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,11,1950MHz,dvfs11,585.0,0.5,50,292.5,10,22.815,0.097419,1,0.022226144850000004,44.9920580806437,10.264938051098861
mobilenet-v2-050,MobileNet-V2 0.5,Server,Server,D55E00,gpu-server,0,300MHz,dvfs0,230.6,0.75,75,172.95,10,23.55,0.090337,1,0.0212743635,47.0049315458956,11.069661379058415
